code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount,self_employment_income_amount,employment_income_amount,pension_income_amount,total_income_amount
E07000042,Mid Devon,7000.0,24300.0,15500.0,28000.0,30000.0,24400.0,14000.0,19800.0,17000.0,42000.0,34300.0,26000.0,42000.0,5020.0,2340.0,210840000.0,170100000.0,840000000.0,277200000.0,1440600000.0
E07000043,North Devon,9000.0,20200.0,14800.0,32000.0,26900.0,21700.0,15000.0,19000.0,16400.0,47000.0,31100.0,23800.0,47000.0,3980.0,1950.0,187060000.0,181800000.0,860800000.0,285000000.0,1461700000.0
E07000044,South Hams,8000.0,24100.0,16900.0,30000.0,31700.0,25200.0,17000.0,21600.0,17400.0,46000.0,37600.0,28800.0,46000.0,5720.0,2770.0,263120000.0,192800000.0,951000000.0,367200000.0,1729600000.0
E07000045,Teignbridge,10000.0,22400.0,13700.0,49000.0,29200.0,23700.0,24000.0,19200.0,16900.0,71000.0,33200.0,25000.0,71000.0,4630.0,2230.0,328730000.0,224000000.0,1430800000.0,460800000.0,2357200000.0
E07000046,Torridge,6000.0,17800.0,14200.0,21000.0,27400.0,22600.0,13000.0,18000.0,15600.0,33000.0,30000.0,23300.0,33000.0,3680.0,1930.0,121440000.0,106800000.0,575400000.0,234000000.0,990000000.0
E07000047,West Devon,4000.0,22400.0,14800.0,16000.0,29600.0,23700.0,12000.0,21300.0,18500.0,27000.0,33800.0,25700.0,27000.0,4920.0,2250.0,132840000.0,89600000.0,473600000.0,255600000.0,912600000.0
E07000061,Eastbourne,7000.0,19800.0,15000.0,31000.0,28100.0,22400.0,16000.0,21900.0,18300.0,48000.0,31300.0,24100.0,48000.0,3990.0,2020.0,191520000.0,138600000.0,871100000.0,350400000.0,1502400000.0
E07000062,Hastings,6000.0,22200.0,19200.0,28000.0,28200.0,23000.0,11000.0,16800.0,15200.0,39000.0,30000.0,24200.0,39000.0,3600.0,2040.0,140400000.0,133200000.0,789600000.0,184800000.0,1170000000.0
E07000063,Lewes,8000.0,26600.0,16500.0,36000.0,34100.0,25000.0,17000.0,23100.0,18100.0,52000.0,39600.0,28200.0,52000.0,6690.0,2690.0,347880000.0,212800000.0,1227600000.0,392700000.0,2059200000.0
E07000064,Rother,6000.0,34600.0,14600.0,31000.0,33000.0,23600.0,19000.0,22100.0,17900.0,48000.0,38600.0,26600.0,48000.0,6260.0,2470.0,300480000.0,207600000.0,1023000000.0,419900000.0,1852800000.0
E07000065,Wealden,14000.0,30400.0,17000.0,55000.0,38900.0,25200.0,31000.0,22300.0,17400.0,85000.0,45000.0,28400.0,85000.0,8740.0,2640.0,742900000.0,425600000.0,2139500000.0,691300000.0,3825000000.0
E07000066,Basildon,11000.0,26400.0,20900.0,69000.0,37900.0,27700.0,21000.0,19300.0,16200.0,91000.0,38700.0,29000.0,91000.0,6430.0,2860.0,585130000.0,290400000.0,2615100000.0,405300000.0,3521700000.0
E07000067,Braintree,10000.0,30300.0,18100.0,61000.0,37800.0,27000.0,21000.0,20800.0,17700.0,82000.0,40300.0,28500.0,82000.0,6860.0,2750.0,562520000.0,303000000.0,2305800000.0,436800000.0,3304600000.0
E07000068,Brentwood,5000.0,42900.0,16700.0,29000.0,55700.0,33100.0,11000.0,24800.0,20100.0,41000.0,59300.0,34900.0,41000.0,13900.0,3770.0,569900000.0,214500000.0,1615300000.0,272800000.0,2431300000.0
E07000069,Castle Point,5000.0,23100.0,20700.0,32000.0,34500.0,26600.0,15000.0,19900.0,18000.0,46000.0,35700.0,27700.0,46000.0,5420.0,2620.0,249320000.0,115500000.0,1104000000.0,298500000.0,1642200000.0
E07000070,Chelmsford,10000.0,31400.0,17900.0,71000.0,44300.0,30800.0,23000.0,23500.0,18700.0,94000.0,46400.0,31900.0,94000.0,8960.0,3450.0,842240000.0,314000000.0,3145300000.0,540500000.0,4361600000.0
E07000071,Colchester,12000.0,26800.0,16400.0,74000.0,36900.0,28200.0,23000.0,20200.0,16900.0,96000.0,39200.0,28600.0,96000.0,6520.0,2860.0,625920000.0,321600000.0,2730600000.0,464600000.0,3763200000.0
E07000072,Epping Forest,11000.0,35900.0,17400.0,52000.0,48300.0,30300.0,18000.0,21000.0,17400.0,71000.0,67900.0,33100.0,71000.0,17000.0,3540.0,1207000000.0,394900000.0,2511600000.0,378000000.0,4820900000.0
E07000073,Harlow,5000.0,21300.0,16300.0,35000.0,31800.0,26700.0,9000.0,17300.0,15800.0,44000.0,32500.0,26800.0,44000.0,4300.0,2550.0,189200000.0,106500000.0,1113000000.0,155700000.0,1430000000.0
E07000074,Maldon,5000.0,23500.0,16800.0,24000.0,38200.0,28100.0,12000.0,20200.0,17300.0,36000.0,39500.0,28800.0,36000.0,6750.0,2690.0,243000000.0,117500000.0,916800000.0,242400000.0,1422000000.0
E07000075,Rochford,6000.0,23500.0,18100.0,35000.0,40000.0,29300.0,12000.0,19000.0,16300.0,47000.0,40700.0,29700.0,47000.0,7070.0,3010.0,332290000.0,141000000.0,1400000000.0,228000000.0,1912900000.0
E07000076,Tendring,8000.0,21400.0,16800.0,42000.0,30800.0,25400.0,25000.0,18700.0,15900.0,66000.0,31600.0,24200.0,66000.0,4210.0,2030.0,277860000.0,171200000.0,1293600000.0,467500000.0,2085600000.0
E07000077,Uttlesford,7000.0,34100.0,16200.0,38000.0,49000.0,32400.0,16000.0,20900.0,16200.0,54000.0,52200.0,33700.0,54000.0,11300.0,3410.0,610200000.0,238700000.0,1862000000.0,334400000.0,2818800000.0
E07000078,Cheltenham,7000.0,24400.0,15000.0,45000.0,37400.0,25800.0,18000.0,20900.0,17100.0,61000.0,40100.0,28000.0,61000.0,6840.0,2650.0,417240000.0,170800000.0,1683000000.0,376200000.0,2446100000.0
E07000079,Cotswold,8000.0,34600.0,15700.0,34000.0,41200.0,25000.0,17000.0,25300.0,19200.0,50000.0,50500.0,29100.0,50000.0,10800.0,2790.0,540000000.0,276800000.0,1400800000.0,430100000.0,2525000000.0
E07000080,Forest of Dean,6000.0,17700.0,14600.0,31000.0,29300.0,25400.0,16000.0,18100.0,16400.0,45000.0,31300.0,25000.0,45000.0,4050.0,2220.0,182250000.0,106200000.0,908300000.0,289600000.0,1408500000.0
E07000081,Gloucester,5000.0,21600.0,17500.0,52000.0,29000.0,25100.0,18000.0,17500.0,16400.0,67000.0,30000.0,25100.0,67000.0,3550.0,2320.0,237850000.0,108000000.0,1508000000.0,315000000.0,2010000000.0
