code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount
E10000011,East Sussex County,40,"27,500","16,400",180,"33,400","24,000",94,"21,700","17,500",271,"38,300","26,400",271,"6,330","2,430","1,720"
E07000061,Eastbourne,7,"19,800","15,000",31,"28,100","22,400",16,"21,900","18,300",48,"31,300","24,100",48,"3,990","2,020",191
E07000062,Hastings,6,"22,200","19,200",28,"28,200","23,000",11,"16,800","15,200",39,"30,000","24,200",39,"3,600","2,040",140
E07000063,Lewes,8,"26,600","16,500",36,"34,100","25,000",17,"23,100","18,100",52,"39,600","28,200",52,"6,690","2,690",345
E07000064,Rother,6,"34,600","14,600",31,"33,000","23,600",19,"22,100","17,900",48,"38,600","26,600",48,"6,260","2,470",299
E07000065,Wealden,14,"30,400","17,000",55,"38,900","25,200",31,"22,300","17,400",85,"45,000","28,400",85,"8,740","2,640",742
E10000014,Hampshire County,78,"28,600","17,000",547,"39,800","28,200",228,"21,700","18,100",754,"42,000","29,400",754,"7,570","2,940","5,700"
E07000084,Basingstoke and Deane,9,"28,500","15,200",79,"43,000","30,400",27,"21,000","17,700",104,"44,100","30,400",104,"8,310","3,250",861
E07000085,East Hampshire,10,"31,500","17,800",47,"43,500","28,900",24,"24,500","19,500",70,"46,500","30,900",70,"9,200","3,110",649
E07000086,Eastleigh,8,"23,400","17,800",58,"35,800","29,000",18,"20,000","17,600",74,"37,800","29,900",74,"5,800","3,070",429
E07000087,Fareham,6,"24,700","19,100",44,"35,000","27,300",20,"21,200","17,700",62,"36,800","28,800",62,"5,600","2,800",348
E07000088,Gosport,3,"21,100","19,100",32,"31,300","25,900",13,"18,800","16,800",42,"32,400","25,900",42,"4,250","2,410",179
E07000089,Hart,5,"32,400","16,900",41,"52,500","33,400",18,"22,800","17,900",57,"53,000","34,200",57,"11,600","3,830",658
E07000090,Havant,6,"23,000","18,500",42,"31,700","24,200",20,"18,800","16,700",61,"33,200","25,000",61,"4,660","2,200",282
E07000091,New Forest,11,"27,100","15,900",61,"35,700","25,700",33,"23,200","19,100",93,"39,500","27,300",93,"6,690","2,620",621
E07000092,Rushmoor,5,"20,700","16,800",42,"34,500","28,700",10,"17,500","15,700",51,"35,000","28,700",51,"4,980","2,890",254
E07000093,Test Valley,7,"32,900","17,400",53,"39,600","27,800",24,"22,300","17,300",74,"42,800","29,500",74,"7,860","2,930",580
E07000094,Winchester,8,"41,400","14,800",49,"51,800","30,500",20,"24,400","19,600",67,"56,300","34,600",67,"12,700","3,670",843
E10000016,Kent County,97,"30,900","17,600",582,"38,800","26,700",227,"20,500","17,100",803,"41,000","27,700",803,"7,340","2,680","5,890"
E07000105,Ashford,9,"28,800","18,600",51,"34,900","25,800",19,"20,600","17,200",70,"38,200","27,100",70,"6,300","2,620",442
E07000106,Canterbury,9,"26,400","14,800",51,"35,200","25,300",23,"19,900","16,600",73,"37,300","26,300",73,"6,050","2,360",442
E07000107,Dartford,7,"24,600","18,600",45,"38,600","31,200",12,"19,900","17,100",59,"39,200","30,600",59,"6,280","3,220",368
E07000108,Dover,7,"22,000","16,200",38,"31,100","24,400",24,"19,000","15,900",60,"32,600","25,000",60,"4,530","2,200",271
E07000112,Folkestone and Hythe,6,"21,500","15,500",35,"33,900","26,600",19,"20,200","17,800",53,"35,100","26,600",53,"5,320","2,450",282
E07000109,Gravesham,6,"25,900","20,800",41,"35,100","28,000",13,"19,200","17,400",54,"36,500","28,600",54,"5,520","2,920",296
E07000110,Maidstone,11,"30,200","17,000",72,"37,200","27,000",21,"21,000","16,700",93,"40,000","28,900",93,"6,600","2,820",616
E07000111,Sevenoaks,8,"58,400","17,400",49,"60,300","30,200",20,"23,200","18,700",68,"63,700","32,200",68,"16,000","3,340","1,090"
E07000113,Swale,9,"24,300","19,000",56,"32,200","25,200",19,"18,400","16,100",76,"33,800","25,800",76,"4,790","2,390",364
E07000114,Thanet,8,"20,700","16,500",46,"29,200","23,100",20,"18,500","16,600",65,"31,200","24,300",65,"4,110","2,050",265
E07000115,Tonbridge and Malling,9,"35,300","17,500",52,"45,100","29,200",18,"22,100","18,100",71,"47,000","29,900",71,"9,490","3,030",673
E07000116,Tunbridge Wells,8,"47,100","17,400",46,"50,900","29,900",17,"23,700","18,700",62,"55,700","31,200",62,"12,600","3,270",786
E10000025,Oxfordshire County,44,"32,600","16,000",293,"42,100","29,800",97,"23,000","18,100",384,"46,400","31,000",384,"9,010","3,270","3,460"
E07000177,Cherwell,9,"29,400","13,200",69,"36,200","27,200",19,"20,900","17,400",87,"40,400","28,000",87,"7,070","2,780",618
E07000178,Oxford,9,"26,100","12,700",57,"40,900","31,100",13,"23,600","17,400",70,"45,200","31,500",70,"8,450","3,460",588
E07000179,South Oxfordshire,10,"40,900","18,200",59,"50,900","31,200",25,"24,600","18,900",83,"54,900","33,300",83,"12,200","3,530","1,010"
E07000180,Vale of White Horse,8,"30,800","19,400",58,"43,900","31,100",22,"23,100","19,300",78,"45,900","32,500",78,"8,720","3,590",679
E07000181,West Oxfordshire,8,"34,400","15,500",50,"39,200","29,100",19,"22,800","18,100",67,"45,300","31,000",67,"8,500","3,240",566
E10000030,Surrey County,79,"46,400","17,200",490,"56,400","32,600",174,"25,800","19,500",661,"60,000","34,800",661,"14,200","3,870","9,400"
E07000207,Elmbridge,10,"82,500","18,200",56,"89,600","39,100",19,"28,800","19,100",76,"94,000","42,200",76,"27,700","5,100","2,110"
E07000208,Epsom and Ewell,5,"29,700","18,700",33,"51,300","33,800",11,"23,600","20,300",44,"51,900","35,100",44,"10,800","3,830",474
E07000209,Guildford,10,"52,900","16,700",62,"52,200","31,000",20,"26,000","18,600",81,"58,900","34,300",81,"13,600","3,850","1,110"
E07000210,Mole Valley,7,"32,100","16,300",34,"54,500","30,200",16,"27,600","18,700",48,"58,600","33,800",48,"13,700","3,650",661
E07000211,Reigate and Banstead,9,"33,300","16,700",64,"50,900","33,400",19,"25,300","19,000",84,"53,900","34,500",84,"11,800","3,820",986
E07000212,Runnymede,4,"37,800","18,100",37,"50,300","30,800",11,"23,800","19,700",47,"53,100","33,100",47,"11,700","3,540",554
E07000213,Spelthorne,5,"22,700","17,100",41,"40,300","31,300",13,"22,300","19,500",55,"41,500","31,800",55,"7,110","3,390",387
E07000214,Surrey Heath,6,"28,700","17,500",35,"51,600","34,800",14,"25,800","20,800",49,"52,700","35,400",49,"11,200","3,990",546
E07000215,Tandridge,6,"47,000","16,700",32,"58,000","32,800",14,"24,300","20,300",46,"60,100","34,300",46,"14,400","3,740",655
E07000216,Waverley,10,"59,900","16,200",53,"58,100","32,100",23,"27,300","19,500",75,"65,000","35,700",75,"16,100","4,040","1,210"
E07000217,Woking,6,"46,100","19,200",43,"53,700","32,000",12,"25,600","18,500",57,"55,800","33,700",57,"12,700","3,690",720
E10000032,West Sussex County,55,"26,700","17,000",325,"37,700","27,400",143,"22,400","18,200",463,"40,200","28,400",463,"6,970","2,810","3,230"
E07000223,Adur,4,"21,800","16,900",21,"34,500","27,200",10,"19,500","16,900",31,"34,600","27,400",31,"5,040","2,670",157
E07000224,Arun,11,"21,100","17,600",54,"30,600","23,900",31,"21,300","17,600",83,"33,300","25,500",83,"4,710","2,370",392
E07000225,Chichester,9,"34,700","16,800",46,"40,100","25,400",24,"23,800","18,200",68,"45,500","28,300",68,"8,980","2,760",613
E07000226,Crawley,6,"23,200","19,200",45,"33,400","27,900",10,"17,900","17,000",56,"34,100","27,900",56,"4,830","2,790",270
E07000227,Horsham,10,"27,600","16,700",56,"42,100","30,600",26,"24,400","18,900",81,"45,300","32,500",81,"8,490","3,470",690
E07000228,Mid Sussex,10,"31,600","15,000",60,"45,400","29,700",25,"24,700","20,100",84,"47,400","30,200",84,"9,570","3,060",802
E07000229,Worthing,5,"21,400","16,300",43,"33,900","27,000",18,"20,500","17,800",60,"35,200","27,500",60,"5,100","2,640",304
E12000009,South West,358,"23,400","15,600","2,080","32,000","25,100",891,"20,200","17,000","2,900","35,300","26,400","2,900","5,290","2,470","15,300"
E06000022,Bath and North East Somerset UA,13,"29,900","16,400",72,"37,400","27,000",28,"21,500","17,600",99,"41,800","28,700",99,"7,430","2,750",736
E06000058,"Bournemouth, Christchurch and Poole UA",22,"23,900","16,400",146,"31,700","24,500",57,"20,700","17,000",201,"34,900","25,600",201,"5,250","2,320","1,050"
E06000023,Bristol UA,27,"24,700","15,800",185,"33,500","26,800",40,"19,200","16,300",227,"36,500","27,800",227,"5,600","2,720","1,270"
E06000052,Cornwall UA,44,"21,600","15,500",187,"27,300","22,500",88,"18,800","16,500",273,"31,200","24,400",273,"4,000","2,090","1,090"
E06000059,Dorset UA,24,"23,400","15,000",129,"30,900","24,400",79,"21,400","17,700",198,"35,600","26,300",198,"5,410","2,470","1,070"
E06000053,Isles of Scilly UA,[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available]
E06000024,North Somerset UA,12,"23,200","14,600",86,"33,800","26,000",37,"21,100","17,700",120,"36,700","27,600",120,"5,630","2,670",674
E06000026,Plymouth UA,11,"20,600","16,200",99,"28,600","24,000",38,"17,900","16,600",131,"29,700","24,000",131,"3,500","2,050",459
E06000025,South Gloucestershire UA,16,"22,600","16,500",120,"33,900","27,900",40,"19,600","17,700",156,"36,700","28,600",156,"5,550","2,810",868
E06000030,Swindon UA,11,"20,100","17,300",98,"34,200","26,600",26,"17,200","15,600",121,"34,700","26,700",121,"5,010","2,630",605
E06000027,Torbay UA,[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available],[Not available]
E06000054,Wiltshire UA,30,"26,600","16,200",198,"35,800","26,600",88,"21,500","17,700",272,"39,700","28,600",272,"6,650","2,780","1,810"
E10000008,Devon County,62,"22,600","15,100",269,"30,200","24,200",141,"20,200","17,000",403,"34,100","25,800",403,"4,880","2,360","1,970"
E07000040,East Devon,10,"25,500","16,800",47,"32,100","24,100",30,"21,700","17,900",76,"35,900","26,300",76,"5,570","2,490",423
E07000041,Exeter,7,"22,200","16,000",46,"32,500","27,100",15,"20,400","16,800",60,"34,900","27,600",60,"4,960","2,780",299
E07000042,Mid Devon,7,"24,300","15,500",28,"30,000","24,400",14,"19,800","17,000",42,"34,300","26,000",42,"5,020","2,340",210
E07000043,North Devon,9,"20,200","14,800",32,"26,900","21,700",15,"19,000","16,400",47,"31,100","23,800",47,"3,980","1,950",188
E07000044,South Hams,8,"24,100","16,900",30,"31,700","25,200",17,"21,600","17,400",46,"37,600","28,800",46,"5,720","2,770",264
E07000045,Teignbridge,10,"22,400","13,700",49,"29,200","23,700",24,"19,200","16,900",71,"33,200","25,000",71,"4,630","2,230",329
E07000046,Torridge,6,"17,800","14,200",21,"27,400","22,600",13,"18,000","15,600",33,"30,000","23,300",33,"3,680","1,930",123
E07000047,West Devon,4,"22,400","14,800",16,"29,600","23,700",12,"21,300","18,500",27,"33,800","25,700",27,"4,920","2,250",132
E10000013,Gloucestershire County,40,"25,300","15,800",245,"34,400","25,700",106,"20,700","17,400",340,"37,900","27,000",340,"6,200","2,580","2,110"
E07000078,Cheltenham,7,"24,400","15,000",45,"37,400","25,800",18,"20,900","17,100",61,"40,100","28,000",61,"6,840","2,650",420
E07000079,Cotswold,8,"34,600","15,700",34,"41,200","25,000",17,"25,300","19,200",50,"50,500","29,100",50,"10,800","2,790",535
E07000080,Forest of Dean,6,"17,700","14,600",31,"29,300","25,400",16,"18,100","16,400",45,"31,300","25,000",45,"4,050","2,220",183
E07000081,Gloucester,5,"21,600","17,500",52,"29,000","25,100",18,"17,500","16,400",67,"30,000","25,100",67,"3,550","2,320",237
E07000082,Stroud,8,"26,000","14,800",44,"36,500","26,900",21,"21,700","17,800",64,"40,000","27,900",64,"6,720","2,730",428
