code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount
E14000790,Leyton and Wanstead,10,"25,800","18,200",44,"42,600","29,500",9,"20,300","17,200",56,"43,700","30,400",56,"8,180","3,190",460
E14000791,Lichfield,6,"22,600","14,900",38,"36,600","27,400",17,"21,800","18,100",54,"38,400","28,500",54,"6,170","2,790",335
E14000792,Lincoln,4,"20,300","18,000",42,"28,500","24,100",12,"18,600","15,600",52,"30,200","24,700",52,"3,680","2,190",191
E14000793,"Liverpool, Riverside",4,"19,000","12,900",40,"32,400","25,300",6,"16,500","14,400",46,"34,500","25,500",46,"5,120","2,400",237
E14000794,"Liverpool, Walton",3,"18,100","14,700",33,"26,000","23,600",7,"15,400","15,700",38,"26,700","23,500",38,"2,730","1,950",104
E14000795,"Liverpool, Wavertree",3,"21,700","15,400",30,"29,600","23,000",8,"17,500","15,000",37,"30,700","23,900",37,"3,920","1,940",146
E14000796,"Liverpool, West Derby",3,"20,100","15,700",31,"28,800","25,000",8,"15,500","14,400",37,"30,100","25,100",37,"3,620","2,320",135
E14000797,Loughborough,4,"24,300","13,700",39,"31,200","25,200",12,"19,700","17,600",50,"33,400","26,000",50,"4,580","2,320",229
E14000798,Louth and Horncastle,4,"20,400","13,700",29,"27,500","22,300",18,"19,100","17,300",45,"30,000","24,000",45,"3,670","2,010",164
E14000799,Ludlow,7,"19,400","14,000",29,"32,400","25,900",16,"21,800","18,700",45,"35,600","26,100",45,"5,320","2,450",242
E14000800,Luton North,6,"22,200","18,200",31,"30,800","26,700",8,"16,900","15,900",40,"31,900","26,800",40,"4,050","2,630",163
E14000801,Luton South,6,"19,400","16,000",43,"29,400","24,900",7,"18,400","15,500",52,"30,300","24,900",52,"3,760","2,280",196
E14000802,Macclesfield,5,"23,700","15,000",39,"39,400","26,900",17,"24,800","20,900",54,"43,300","30,300",54,"8,080","3,030",438
E14000803,Maidenhead,6,"39,200","18,100",45,"58,300","34,300",17,"25,900","20,600",62,"60,300","35,400",62,"14,400","3,850",886
E14000804,Maidstone and The Weald,7,"27,000","17,100",45,"39,500","28,000",11,"20,000","16,600",58,"40,900","28,900",58,"7,190","2,870",416
E14000805,Makerfield,4,"20,700","16,300",40,"30,400","26,000",12,"16,700","15,600",52,"30,100","25,000",52,"3,570","2,180",187
E14000806,Maldon,7,"24,200","17,200",37,"42,100","30,200",18,"22,400","18,000",53,"43,800","31,700",53,"8,040","3,290",429
