code_2010,code_2024,old_population_present
W07000056,W07000104,0.47
N06000011,N05000011,0.91
N06000011,N05000007,0.05
N06000011,N05000017,0.03
N06000011,N05000015,0.01
E14000835,E14001381,1.00
E14000835,E14001155,0.00
E14000836,E14001428,0.85
E14000836,E14001383,0.15
N06000012,N05000012,0.91
N06000012,N05000005,0.09
S14000048,S14000048,1.00
E14000837,E14001385,1.00
E14000838,E14001387,1.00
E14000839,E14001388,0.93
E14000839,E14001363,0.05
E14000839,E14001171,0.01
E14000839,E14001575,0.01
N06000013,N05000013,1.00
E14000840,E14001389,1.00
E14000841,E14001384,0.79
E14000841,E14001289,0.20
E14000841,E14001084,0.01
E14000842,E14001390,0.85
E14000842,E14001224,0.15
E14000843,E14001391,1.00
E14000843,E14001109,0.00
S14000049,S14000100,1.00
S14000049,S14000090,0.00
E14000844,E14001392,0.87
E14000844,E14001063,0.06
E14000844,E14001403,0.06
E14000844,E14001214,0.01
E14000845,E14001393,1.00
E14000845,E14001516,0.00
E14000846,E14001394,0.55
E14000846,E14001241,0.38
E14000846,E14001080,0.07
E14000847,E14001395,1.00
E14000847,E14001281,0.00
E14000848,E14001396,1.00
E14000849,E14001398,0.92
E14000849,E14001543,0.08
E14000850,E14001399,0.91
E14000850,E14001572,0.09
E14000851,E14001536,0.88
E14000851,E14001537,0.12
E14000852,E14001282,0.80
E14000852,E14001216,0.20
E14000852,E14001151,0.00
E14000853,E14001378,0.43
E14000853,E14001183,0.30
E14000853,E14001379,0.20
E14000853,E14001557,0.07
E14000854,E14001400,1.00
E14000855,E14001401,0.79
E14000855,E14001298,0.21
E14000855,E14001425,0.00
E14000856,E14001106,0.49
E14000856,E14001101,0.26
E14000856,E14001173,0.16
E14000856,E14001389,0.08
E14000857,E14001403,0.82
E14000857,E14001449,0.11
E14000857,E14001078,0.07
E14000857,E14001214,0.00
E14000858,E14001404,0.95
E14000858,E14001288,0.05
E14000859,E14001405,0.99
E14000859,E14001497,0.01
E14000860,E14001168,0.48
E14000860,E14001482,0.43
E14000860,E14001356,0.10
E14000861,E14001406,0.96
E14000861,E14001407,0.04
E14000862,E14001407,0.64
E14000862,E14001406,0.36
E14000863,E14001408,1.00
E14000864,E14001409,0.98
E14000864,E14001408,0.02
E14000865,E14001410,1.00
E14000866,E14001411,0.83
E14000866,E14001412,0.17
E14000866,E14001410,0.00
E14000867,E14001412,0.79
E14000867,E14001410,0.12
E14000867,E14001411,0.08
E14000868,E14001413,1.00
S14000050,S14000064,0.45
S14000050,S14000103,0.38
S14000050,S14000105,0.09
S14000050,S14000065,0.05
S14000050,S14000076,0.03
W07000074,W07000086,0.31
W07000074,W07000081,0.26
W07000074,W07000107,0.25
W07000074,W07000106,0.17
W07000074,W07000092,0.01
E14000869,E14001414,1.00
E14000870,E14001415,1.00
E14000871,E14001416,1.00
S14000051,S14000051,1.00
E14000872,E14001417,0.87
E14000872,E14001137,0.13
E14000873,E14001419,0.89
E14000873,E14001420,0.11
E14000874,E14001420,0.81
E14000874,E14001090,0.18
E14000874,E14001591,0.01
S14000052,S14000101,0.73
S14000052,S14000093,0.17
S14000052,S14000102,0.11
S14000053,S14000102,0.93
S14000053,S14000101,0.07
S14000053,S14000093,0.00
E14000875,E14001422,0.84
E14000875,E14001142,0.16
E14000876,E14001423,1.00
E14000876,E14001466,0.00
E14000877,E14001424,0.44
E14000877,E14001580,0.30
E14000877,E14001152,0.26
S14000054,S14000103,0.63
S14000054,S14000065,0.37
E14000878,E14001425,0.99
E14000878,E14001401,0.01
E14000879,E14001426,1.00
E14000880,E14001427,0.95
E14000880,E14001426,0.05
W07000075,W07000106,0.72
W07000075,W07000107,0.16
